"111";"LSU";"LSU";"Tigers";"#18004C";"#FF9F00";"0";NULL;NULL;"LSU.gif";"SEC";;"lsu";"ACTIVE"
"157";"MISS";"Mississippi";"Rebels";"#000063";"#CC0000";"0";NULL;NULL;"Mississippi.gif";"SEC";;"ole";"ACTIVE"
"356";"MSST";"Mississippi State";"Bulldogs";"#880029";"#880029";"0";NULL;NULL;"MississippiState.gif";"SEC";;"msst";"ACTIVE"
"20";"SCAR";"South Carolina";"Gamecocks";"#990033";"#000000";"0";NULL;NULL;"SouthCarolina.gif";"SEC";;"scar";"ACTIVE"
"2645";"TENN";"Tennessee";"Volunteers";"#EF9218";"#000000";"0";NULL;NULL;"Tennessee.gif";"SEC";;"tenn";"ACTIVE"
"250";"VAND";"Vanderbilt";"Commodores";"#B3A75F";"#000000";"0";NULL;NULL;"Vanderbilt.gif";"SEC";;"vand";"ACTIVE"
"2044";"ARU";"Arkansas State";"Red Wolves";"#B3A75F";"#000000";"0";NULL;NULL;"ArkansasState.gif";"Sun Belt";;"aru";"ACTIVE"
"2241";"FIU";"Florida International";"Golden Panthers";"#B3A75F";"#000000";"0";NULL;NULL;"FIU.gif";"Sun Belt";;"flin";"ACTIVE"
"2238";"FAU";"Florida Atlantic";"Owls";"#ffffff";"#ffffff";"0";NULL;NULL;"FloridaAtlantic.gif";"Sun Belt";;"fau";"ACTIVE"
"321";"ULAF";"Louisiana-Lafayette";"Ragin' Cajuns";"#BD283A";"#EF9C10";"0";NULL;NULL;"Louisiana-Lafayette.gif";"Sun Belt";;"ulaf";"ACTIVE"
"259";"ULM";"Louisiana-Monroe";"Warhawks";"#660033";"#CCCC99";"0";NULL;NULL;"Louisiana-Monroe.gif";"Sun Belt";;"ulm";"ACTIVE"
"256";"MTN";"Middle Tennessee";"Blue Raiders";"#660033";"#CCCC99";"0";NULL;NULL;"MiddleTennessee.gif";"Sun Belt";;"mtn";"ACTIVE"
"261";"NTEX";"North Texas";"Mean Green";"#660033";"#CCCC99";"0";NULL;NULL;"NorthTexas.gif";"Sun Belt";;"ntex";"ACTIVE"
